Symbol,Company Name,Price Performance (52 Weeks),Total Return (1 Yr Annualized),Beta (1 Year Annualized),Standard Deviation (1 Yr Annualized)
FRST,Primis Financial ,-18.97133,-16.0967,1.040946,0.33849
WSFGQ,WSB Financial Group ,0.0,0.0,0.0,0.0
PBNK,Pinnacle Bank (CA),22.58065,22.58065,0.158429,0.12911
CARE,Carter Bankshares ,29.749390000000002,29.749390000000002,1.202188,0.33473
ESSA,ESSA Bancorp ,5.72712,9.1593,0.826651,0.30257
TFSL,TFS Financial ,0.64673,9.66318,0.602969,0.23788
QNTO,Quaint Oak Bancorp ,-2.7027,2.01124,0.0,0.0
LRBI,Lake Ridge Bancorp ,0.0,0.0,0.0,0.0
FFNW,First Financial Northwest ,9.37651,10.05652,0.271582,0.19892
NFBK,Northfield Bancorp ,12.8999,18.36848,1.207818,0.40879
CMUV,CMUV Bancorp,25.87822,29.01293,0.0,0.0
SFBC,Sound Financial Bancorp ,24.75369,26.82977,-0.164202,0.28169
WMPN,William Penn Bancorp,-12.5,-11.63876,0.460388,0.18701
BLHK,BlueHarbor Bank,13.75,15.99317,0.0,0.0
HBCP,Home Bancorp ,21.91965,24.80565,1.191847,0.32949
FSFG,First Savings Financial Group ,54.28914,58.52987,0.271655,0.23972
BKQNY,Bank of Queensland Ltd,3.8125,9.29726,0.0,0.0
GNRV,Grand River mmunications ,38.59649,38.59649,0.0,0.0
TBNK,Territorial Bancorp ,5.57668,6.04372,0.760095,0.35455
CULL,Cullman Bancorp ,1.76991,2.99729,0.133721,0.12588
FIBK,First Interstate BancSystem ,7.99087,14.92947,1.092612,0.27711
EMYB,Embassy Bancorp ,15.07353,18.69925,0.0,0.0
CTUY,Century Next Financial ,36.67216,38.46598,0.0,0.0
OFED,Oconee Federal Financial ,-9.09091,-6.27136,0.0,0.0
BKU,BankUnited ,24.01603,28.53808,1.047505,0.36967
JMSB,John Marshall Bancorp ,-4.15704,-2.79254,0.788018,0.35067
MNMB,Merchants & Marine Bancorp ,-9.13978,-6.05496,0.0,0.0
IROQ,IF Bancorp ,45.61404,48.28463,0.312588,0.24898
PBAM,Private Bancorp of America ,60.32211,60.32211,0.108384,0.25325
CUBI,Customers Bancorp ,-1.96911,-1.96911,1.549572,0.47868
HMST,HomeStreet ,-17.79603,-17.79603,1.578471,0.61078
FSBW,FS Bancorp ,13.77246,16.89537,1.026848,0.33854
HTB,HomeTrust Bancshares ,30.55768,32.36293,1.375173,0.31965
UNIF,U & I Financial ,-43.64162,-43.64162,0.0,0.0
NBHC,National Bank Holdings ,8.5569,11.52618,0.960475,0.26603
WBBW,Westbury Bancorp ,0.0,0.0,0.0,0.0
NIC,Nicolet Bankshares ,30.39485,31.86835,0.878085,0.3079
FVCB,FVCBankcorp ,-12.19309,-12.19309,1.36937,0.45487
CSHX,Cashmere Valley Bank,26.36816,30.07622,0.044749,0.16918
FFMR,First Farmers Financial ,-1.87463,1.00591,0.0,0.0
FRBA,First Bank,12.08207,13.97657,0.637371,0.27801
SFBS,ServisFirst Bancshares ,23.38771,25.43848,1.176857,0.35745
ISTR,Investar Holding ,6.48318,8.90076,1.130855,0.32411
CFG,Citizens Financial Group ,13.88889,18.55481,1.026284,0.29001
VBTX,Veritex Holdings ,23.32332,27.4433,1.161428,0.30635
FFWM,First Foundation ,-27.60055,-27.46844,1.141048,0.6281
TFIN,Triumph Financial ,-25.72646,-25.72646,1.547619,0.43684
FNWB,First Northwest Bancorp,-35.67807,-33.95861,1.143402,0.40982
CBWA,mmencement Bancorp ,30.0,60.44915,0.0,0.0
PMHG,Prime Meridian Holding ,27.21239,31.55707,0.014181,0.0
LOB,Live Oak Bancshares ,-33.82643,-33.61761,1.151205,0.48638
IBTN,Ins ,9.01099,10.92998,0.0,0.0
PVBC,Provident Bancorp ,23.15113,23.15113,1.385556,0.35794
BAFN,BayFirst Financial ,25.17058,28.11298,0.334801,0.27961
SABK,South Atlantic Bancshares ,42.37132,43.31107,-0.364097,0.30753
EQBK,Equity Bancshares ,16.55767,18.26177,1.158819,0.30386
HONE,HarborOne Bancorp ,1.25483,4.17596,1.189045,0.37272
MCBS,Metrocity Bankshares ,15.27546,18.71441,1.220457,0.33393
BPRN,Princeton Bancorp ,1.4168,5.08782,1.042602,0.277
MSBI,Midland States Bancorp ,-30.56116,-26.67502,0.613716,0.33055
SLBK,Skyline Bankshares ,14.97717,19.63249,0.048607,0.13873
FHB,First Hawaiian ,12.64528,17.43915,0.887247,0.27705
FBK,FB Financial ,25.21031,27.14791,1.14753,0.31067
MCBI,Mountain mmerce Bancorp ,9.58904,10.71437,0.0,0.0
VBNK,VersaBank,-1.44509,-0.83774,1.362487,0.38269
ESQ,Esquire Financial Holdings ,58.28619,59.85658,0.79397,0.31519
BY,Byline Bancorp ,25.0,26.77838,1.196503,0.309
FFBW,FFBW ,8.52713,8.52713,0.204777,0.13743
RBB,RBB Bancorp,-5.49828,-2.54147,0.894826,0.32648
COSO,astalSouth Bancshares ,26.86567,26.86567,0.0,0.0
PPBB,Peoples Bancorp,0.0,0.0,0.0,0.0
PDLB,Ponce Financial Group ,47.7907,47.7907,1.010314,0.27827
MCB,Metropolitan Bank Holding ,51.90777,51.90777,1.335683,0.4699
STEL,Stellar Bancorp ,15.27836,17.65714,0.841851,0.2897
MRBK,Meridian ,44.44444,50.59805,1.080218,0.35381
CLBK,lumbia Financial ,-12.83264,-12.83264,0.712574,0.31302
SSBP,SSB Bancorp ,-10.71429,-10.71429,0.0,0.0
BWB,Bridgewater Bancshares ,19.57082,19.57082,0.852088,0.30636
BFST,Business First Bancshares ,12.3906,15.00595,1.210603,0.3605
OBK,Origin Bancorp ,14.04439,16.0497,1.326957,0.33284
AMAL,Amalgamated Financial ,23.81363,25.86643,1.364849,0.36525
MYFW,First Western Financial ,35.47486,35.47486,1.259169,0.37029
CCB,astal Financial ,135.62074,135.62074,0.97202,0.35767
CNBN,CNB Bank Shares ,0.0,0.0,0.0,0.0
AMTB,Amerant Bancorp ,-9.35031,-7.88602,1.574261,0.3877
BSVN,Bank7 ,41.73599,45.35664,0.940141,0.34927
