Symbol,Company Name,P/E (Price/TTM Earnings),PEG Ratio,EPS Growth (Proj This Yr vs. Last Yr),Institutional Ownership,Institutional Ownership (Last vs. Prior Qtr)
WASH,Washington Trust Bancorp ,0.0,0.0,-27.15405,66.6356,8.8389
WBS,Webster Financial ,11.8,0.0,9.47955,88.7141,2.5021
WNEB,Western New England Bancorp ,16.8,0.0,7.14286,57.36,0.9976
WAFD,WaFd ,13.2,0.0,-2.68,79.3427,1.2414
WSBC,WesBanco ,13.7,0.0,40.59829,72.8192,6.5049
WSFS,WSFS Financial ,11.9,0.0,1.73121,91.9268,2.137
WTBA,West Bancorporation ,13.9,0.0,10.73826,45.8386,1.2008
WTFC,Wintrust Financial .,11.1,0.0,0.49467,94.5056,4.5555
WVFC,WVS Financial .,0.0,0.0,0.0,0.0,-100.0
ZION,Zions Bancorporation National Association,10.2,0.0,6.34343,77.8563,2.9785
AX,Axos Financial .,8.8,0.0,-5.84856,82.736,-0.4753
MCHB,Mechanics Bank (The) (CA),0.0,0.0,0.0,0.7737,2.7972
PCB,PCB Bancorp,10.7,0.0,17.01149,38.6659,9.337
GSBX,Golden State Bancorp,0.0,0.0,0.0,0.0,0.0
BWFG,Bankwell Financial Group ,24.5,0.0,217.00855,38.1939,6.8719
LYBC,Lyons Bancorp ,9.0,0.0,0.0,0.0,0.0
FRSB,First Resources Bancorp ,0.0,0.0,0.0,0.4493,-12.8941
BCML,Baym ,12.2,0.0,9.52381,0.0,3.0868
EFSC,Enterprise Financial Services oration,11.2,0.0,1.65631,78.2416,2.1105
RWCB,Redwood Capital Bancorp,0.0,0.0,0.0,9.5301,0.0
SCZC,West ast mmunity Bancorp,0.0,0.0,0.0,7.6643,14.784
NIDB,Northeast Indiana Bancorp ,0.0,0.0,0.0,0.0,0.0
BFIN,BankFinancial ,38.8,0.0,115.15152,54.4523,3.939
WAL,Western Alliance Bancorporation,11.0,0.64627,22.30126,89.1941,0.1087
OTTW,Ottawa Bancorp ,0.0,0.0,0.0,0.0,0.0
SYBT,Stock Yards Bancorp ,17.8,0.0,7.7892,61.1379,3.3982
OPBK,OP Bancorp,8.7,0.0,4.60432,0.0,15.0106
MNSB,MainStreet Bancshares ,0.0,0.0,0.0,0.0,0.5094
FBIZ,First Business Financial Services ,9.2,0.0,4.63462,66.8703,4.7955
MGYR,Magyar Bancorp ,10.5,0.0,0.0,31.1345,-1.9266
FFBB,FFB Bancorp,7.3,0.0,0.0,0.3009,0.0
LSBK,Lake Shore Bancorp ,17.9,0.0,0.0,8.9105,-4.6905
TRVR,Two Rivers Financial Group ,0.0,0.0,0.0,0.0,0.0
HOMB,Home Bancshares ,14.1,0.0,8.10945,70.2294,2.8128
NECB,Northeast mmunity Bancorp ,6.7,0.0,-11.17318,47.7311,7.524
GBNY,Generations Bancorp NY ,0.0,0.0,0.0,9.2272,-68.3681
SSBI,Summit State Bank,0.0,0.0,0.0,36.0492,28.4567
LFGP,Ledyard Financial Group ,15.4,0.0,0.0,11.0836,-7.3503
ARBV,American Riviera Bancorp,0.0,0.0,0.0,7.7276,-11.3777
FRST,Primis Financial ,0.0,0.0,0.0,77.4114,1.4352
WSFGQ,WSB Financial Group ,0.0,0.0,0.0,0.0,0.0
PBNK,Pinnacle Bank (CA),0.0,0.0,0.0,5.1367,0.0
CARE,Carter Bankshares ,15.2,0.0,88.39623,47.4423,5.5005
ESSA,ESSA Bancorp ,10.9,0.0,0.0,46.3373,0.9697
TFSL,TFS Financial ,44.7,0.0,5.0,9.8805,2.2887
QNTO,Quaint Oak Bancorp ,0.0,0.0,0.0,0.0,0.0
LRBI,Lake Ridge Bancorp ,0.0,0.0,0.0,0.0,0.0
FFNW,First Financial Northwest ,188.3,0.0,131.66667,49.9305,5.3428
NFBK,Northfield Bancorp ,15.3,0.0,31.71875,56.4503,0.6283
CMUV,CMUV Bancorp,0.0,0.0,0.0,0.0,0.0
SFBC,Sound Financial Bancorp ,28.7,0.0,0.0,35.7078,0.6501
WMPN,William Penn Bancorp,0.0,0.0,0.0,28.6033,57.3654
BLHK,BlueHarbor Bank,0.0,0.0,0.0,3.5862,0.0
HBCP,Home Bancorp ,9.9,0.0,4.3956,45.9966,2.3793
FSFG,First Savings Financial Group ,9.5,0.0,23.73737,28.6066,2.2209
BKQNY,Bank of Queensland Ltd,0.0,0.0,0.0,0.0,0.0
GNRV,Grand River mmunications ,0.0,0.0,0.0,9.5897,0.0
TBNK,Territorial Bancorp ,0.0,0.0,0.0,45.5471,5.9164
CULL,Cullman Bancorp ,0.0,0.0,0.0,0.0,-100.0
FIBK,First Interstate BancSystem ,13.1,4.83541,12.73973,80.0845,2.9655
EMYB,Embassy Bancorp ,11.3,0.0,0.0,2.9036,0.1129
CTUY,Century Next Financial ,0.0,0.0,0.0,0.0,0.0
OFED,Oconee Federal Financial ,9.6,0.0,0.0,0.0,0.0
BKU,BankUnited ,11.2,0.0,5.45455,99.9499,-0.1135
JMSB,John Marshall Bancorp ,13.9,0.0,0.0,0.0,11.2836
MNMB,Merchants & Marine Bancorp ,0.0,0.0,0.0,0.0,0.0
IROQ,IF Bancorp ,26.9,0.0,0.0,29.16,7.1742
PBAM,Private Bancorp of America ,8.9,0.0,7.39837,8.2549,-4.7536
CUBI,Customers Bancorp ,10.1,0.0,6.14187,87.982,-2.4566
HMST,HomeStreet ,0.0,0.0,0.0,80.9522,3.8005
FSBW,FS Bancorp ,8.6,0.0,-4.58716,64.0317,1.8566
HTB,HomeTrust Bancshares ,10.7,0.0,-8.0,56.9585,-0.4415
UNIF,U & I Financial ,0.0,0.0,0.0,0.0621,100.0
NBHC,National Bank Holdings ,12.6,0.0,-0.12422,97.4113,-1.5626
WBBW,Westbury Bancorp ,0.0,0.0,0.0,0.0,0.0
NIC,Nicolet Bankshares ,13.7,0.0,7.49681,47.2245,4.0554
FVCB,FVCBankcorp ,13.0,0.0,28.04878,0.0,4.4839
CSHX,Cashmere Valley Bank,8.6,0.0,0.0,2.3498,-6.7088
FFMR,First Farmers Financial ,0.0,0.0,0.0,0.0,0.0
FRBA,First Bank,8.9,0.0,-1.1976,71.6182,-0.1924
SFBS,ServisFirst Bancshares ,19.8,0.0,24.75962,73.2226,2.3975
ISTR,Investar Holding ,8.5,0.0,-4.39153,63.6229,2.8469
CFG,Citizens Financial Group ,13.7,0.0,27.06271,94.4733,-0.466
VBTX,Veritex Holdings ,12.7,0.0,5.88517,90.2856,2.658
FFWM,First Foundation ,0.0,0.0,0.0,83.4002,15.6799
TFIN,Triumph Financial ,108.5,0.0,94.44444,92.3789,0.801
FNWB,First Northwest Bancorp,0.0,0.0,0.0,46.9343,-8.7845
CBWA,mmencement Bancorp ,0.0,0.0,0.0,5.3146,-20.8285
PMHG,Prime Meridian Holding ,0.0,0.0,0.0,10.5112,-3.5074
LOB,Live Oak Bancshares ,16.1,0.0,42.72189,67.1576,1.997
IBTN,Ins ,0.0,0.0,0.0,0.58,0.0
PVBC,Provident Bancorp ,26.8,0.0,63.48837,45.2591,-4.0773
BAFN,BayFirst Financial ,6.3,0.0,0.0,0.0,-3.458
SABK,South Atlantic Bancshares ,0.0,0.0,40.45802,4.8436,-3.4381
EQBK,Equity Bancshares ,9.9,0.0,-8.4,72.3955,19.2227
HONE,HarborOne Bancorp ,16.0,0.0,25.45455,58.1814,0.9577
MCBS,Metrocity Bankshares ,11.0,0.0,5.03968,0.0,3.139
